1,Maruti 800 AC,20070101,60000,Gasolina/Etanol
2,Maruti Wagon R LXI Minor,20070101,135000,Gasolina/Etanol
3,Hyundai Verna 1.6 SX,20120101,600000,Gasolina/Etanol
4,Datsun RediGO T Option,20170101,250000,Gasolina/Etanol
5,Honda Amaze VX i-DTEC,20140101,450000,Diesel
6,Maruti Alto LX BSIII,20070101,140000,Gasolina/Etanol
7,Hyundai Xcent 1.2 Kappa S,20160101,550000,Gasolina/Etanol
8,Tata Indigo Grand Petrol,20140101,240000,Não identificado
9,Hyundai Creta 1.6 VTVT S,20150101,850000,Gasolina/Etanol
10,Maruti Celerio Green VXI,20170101,365000,Gasolina/Etanol
11,Chevrolet Sail 1.2 Base,20150101,260000,Elétrico
12,Tata Indigo Grand Petrol,20140101,250000,Não identificado
13,Toyota Corolla Altis 1.8 VL CVT,20180101,1650000,Gasolina/Etanol
14,Maruti 800 AC,20070101,60000,Gasolina/Etanol
15,Maruti Wagon R LXI Minor,20070101,135000,Gasolina/Etanol
16,Hyundai Verna 1.6 SX,20120101,600000,Gasolina/Etanol
17,Datsun RediGO T Option,20170101,250000,Gasolina/Etanol
18,Honda Amaze VX i-DTEC,20140101,450000,Diesel
19,Maruti Alto LX BSIII,20070101,140000,Gasolina/Etanol
20,Hyundai Xcent 1.2 Kappa S,20160101,550000,Gasolina/Etanol
21,Tata Indigo Grand Petrol,20140101,240000,Não identificado
22,Hyundai Creta 1.6 VTVT S,20150101,850000,Gasolina/Etanol
23,Maruti Celerio Green VXI,20170101,365000,Gasolina/Etanol
24,Chevrolet Sail 1.2 Base,20150101,260000,Elétrico
25,Tata Indigo Grand Petrol,20140101,250000,Não identificado
26,Toyota Corolla Altis 1.8 VL CVT,20180101,1650000,Gasolina/Etanol
27,Maruti Ciaz VXi Plus,20150101,585000,Gasolina/Etanol
28,Hyundai Venue SX Opt Diesel,20190101,1195000,Diesel
29,Chevrolet Enjoy TCDi LTZ 7 Seater,20130101,390000,Elétrico
30,Jaguar XF 2.2 Litre Luxury,20140101,1964999,Não identificado
31,Mercedes-Benz New C-Class 220 CDI AT,20130101,1425000,Gasolina
32,Maruti Vitara Brezza ZDi Plus AMT,20180101,975000,Gasolina/Etanol
33,Audi Q5 2.0 TDI,20110101,1190000,Diesel
34,Honda City V MT,20180101,930000,Gasolina/Etanol
35,Tata Tigor 1.2 Revotron XT,20180101,525000,Elétrico
36,Audi A6 2.0 TDI  Design Edition,20130101,1735000,Diesel
37,Mercedes-Benz New C-Class C 220 CDI Avantgarde,20120101,1375000,Gasolina
38,Skoda Superb Ambition 2.0 TDI CR AT,20110101,450000,Diesel
39,Toyota Corolla Altis G AT,20160101,900000,Gasolina/Etanol
40,Toyota Innova 2.5 G (Diesel) 7 Seater,20150101,1300000,Diesel
41,Jeep Compass 1.4 Sport Plus BSIV,20190101,1400000,Não identificado
42,Mercedes-Benz E-Class E 200 CGI Elegance,20100101,850000,Gasolina
43,Hyundai i10 Magna 1.1L,20140101,229999,Gasolina/Etanol
44,BMW 3 Series 320d Sport Line,20130101,1550000,Gasolina
45,Audi Q7 35 TDI Quattro Premium,20090101,1250000,Diesel
46,Hyundai Elantra CRDi S,20120101,625000,Diesel
47,Mahindra Scorpio 1.99 S10,20140101,1050000,Diesel
48,Honda City i DTEC V,20140101,560000,Diesel
49,Maruti Wagon R VXI BS IV with ABS,20140101,290000,Gasolina/Etanol
50,Maruti Wagon R VXI BS IV,20120101,275000,Gasolina/Etanol
51,Mahindra Scorpio LX,20090101,411000,Diesel
52,Hyundai Santro Xing GLS,20090101,150000,Gasolina/Etanol
53,Hyundai Grand i10 1.2 Kappa Asta,20190101,500000,Gasolina/Etanol
54,Maruti Alto LXi,20060101,100000,Gasolina/Etanol
55,Maruti Swift Dzire VDI Optional,20170101,725000,Gasolina/Etanol
56,Maruti Eeco 5 Seater AC BSIV,20180101,401000,Gasolina/Etanol
57,Hyundai i20 Sportz 1.4 CRDi,20180101,750000,Diesel
58,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,20180101,310000,Gasolina/Etanol
59,Maruti Swift ZDi BSIV,20160101,665000,Gasolina/Etanol
60,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,20140101,465000,Diesel
61,Maruti Alto LXi,20120101,160000,Gasolina/Etanol
62,Mahindra Jeep CL 500 MDI,19960101,250000,Diesel
63,Honda City i DTEC VX,20140101,675000,Diesel
64,Maruti Wagon R VXI BS IV,20130101,300000,Gasolina/Etanol
65,Tata Indica DLS,20050101,70000,Não identificado
66,Hyundai EON Magna Plus,20140101,240000,Gasolina/Etanol
67,Toyota Etios GD,20140101,525000,Gasolina/Etanol
68,Maruti Alto LXi,20090101,151000,Gasolina/Etanol
69,Maruti Alto LXi,20090101,140000,Gasolina/Etanol
70,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,20100101,280000,Elétrico
71,Toyota Corolla Altis Diesel D4DG,20110101,350000,Diesel
72,Mahindra Scorpio 1.99 S6 Plus,20170101,570000,Diesel
73,Hyundai EON Magna Plus,20180101,300000,Gasolina/Etanol
74,Tata Indigo Classic Dicor,20070101,100000,Não identificado
75,Toyota Innova 2.5 V Diesel 8-seater,20090101,500000,Diesel
76,Tata Indica Vista Quadrajet LS,20140101,125000,Não identificado
77,Maruti Swift 1.3 VXi,20060101,130000,Gasolina/Etanol
78,Ford EcoSport 1.5 Diesel Titanium BSIV,20170101,925000,Diesel
79,Maruti Ciaz 1.3 Delta,20180101,750000,Gasolina/Etanol
80,Honda Civic 1.8 V AT,20070101,200000,Gasolina/Etanol
81,Hyundai i10 Sportz 1.2,20100101,248000,Gasolina/Etanol
82,Skoda Rapid 1.5 TDI Elegance,20140101,450000,Diesel
83,Hyundai Getz GLS,20050101,80000,Gasolina/Etanol
84,Nissan Terrano XL,20140101,650000,Gasolina/Etanol
85,Hyundai Grand i10 CRDi Sportz,20150101,450000,Diesel
86,Hyundai Elite i20 Diesel Era,20190101,650000,Diesel
87,Honda Amaze S i-VTEC,20160101,495000,Gasolina/Etanol
88,Honda Brio S MT,20150101,371000,Gasolina/Etanol
89,Hyundai Creta 1.6 SX Option,20170101,1025000,Gasolina/Etanol
90,Mercedes-Benz S-Class S 350d Connoisseurs Edition,20170101,8150000,Gasolina
91,Mahindra XUV500 W8 2WD,20150101,750000,Diesel
92,Renault Duster 85PS Diesel RxL Optional,20130101,600000,Diesel
93,Hyundai Santro Xing XO,20070101,80000,Gasolina/Etanol
94,Mahindra Bolero 2011-2019 SLE,20130101,325000,Diesel
95,Audi A6 2.0 TDI Premium Plus,20140101,1470000,Diesel
96,Fiat Avventura MULTIJET Emotion,20150101,350000,Gasolina/Etanol
97,Audi A8 4.2 TDI,20130101,2800000,Diesel
98,Datsun RediGO 1.0 S,20170101,210000,Gasolina/Etanol
99,Volkswagen Jetta 1.4 TSI Comfortline,20130101,450000,Gasolina/Etanol
100,Audi A4 2.0 TDI 177 Bhp Premium Plus,20130101,1150000,Diesel
101,Honda Civic 1.8 V AT,20090101,210000,Gasolina/Etanol
102,Mercedes-Benz E-Class Exclusive E 200 BSIV,20180101,4500000,Gasolina
103,BMW X1 sDrive 20d xLine,20170101,2750000,Gasolina
104,Volvo V40 D3 R Design,20180101,1975000,Gasolina
105,Maruti SX4 Zxi BSIII,20080101,175000,Gasolina/Etanol
106,BMW 7 Series 730Ld,20120101,2500000,Gasolina
107,Mahindra Bolero Power Plus SLX,20170101,628000,Diesel
108,Hyundai Sonata CRDi M/T,20100101,600000,Diesel
109,Nissan Micra Active XV Petrol,20170101,399000,Gasolina/Etanol
110,Mahindra Xylo D4,20180101,750000,Diesel
111,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,20190101,750000,Gasolina/Etanol
112,Renault KWID RXT,20170101,315000,Gasolina/Etanol
113,Mahindra Xylo E4 BS III,20120101,600000,Diesel
114,Maruti Wagon R LXI Minor,20100101,100000,Gasolina/Etanol
115,Maruti SX4 ZXI MT BSIV,20110101,250000,Gasolina/Etanol
116,Renault KWID RXT,20170101,350000,Gasolina/Etanol
117,Hyundai Creta 1.4 CRDi S,20160101,780000,Diesel
118,Maruti Swift Dzire VDI,20140101,434000,Gasolina/Etanol
119,Hyundai Verna 1.6 VTVT AT S Option,20160101,690000,Gasolina/Etanol
120,Mahindra Scorpio LX BSIV,20140101,555000,Diesel
121,Maruti SX4 Vxi BSIII,20070101,120000,Gasolina/Etanol
122,Maruti Ertiga VDI,20140101,500000,Gasolina/Etanol
123,Chevrolet Beat Diesel,20130101,165000,Diesel
124,Maruti Zen LX,20040101,95000,Gasolina/Etanol
125,Maruti Baleno Delta 1.2,20180101,550000,Gasolina/Etanol
126,Maruti Swift Vdi BSIII,20070101,100000,Gasolina/Etanol
127,Tata Nano Lx BSIV,20120101,100000,Não identificado
128,Toyota Innova 2.5 GX (Diesel) 8 Seater,20120101,500000,Diesel
129,Maruti Ertiga SHVS VDI,20160101,800000,Gasolina/Etanol
130,Hyundai Creta 1.6 CRDi SX,20160101,840000,Diesel
131,Honda Amaze S i-Vtech,20160101,490000,Gasolina/Etanol
132,Tata Indica Vista Aqua 1.4 TDI,20100101,125000,Diesel
133,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,20120101,400000,Elétrico
134,Chevrolet Cruze LTZ,20150101,1000000,Elétrico
135,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,20150101,530000,Gasolina/Etanol
136,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,20170101,840000,Diesel
137,Hyundai i10 Sportz 1.1L,20150101,229999,Gasolina/Etanol
138,Maruti 800 Std,19980101,40000,Gasolina/Etanol
139,Chevrolet Spark 1.0 LS,20120101,130000,Elétrico
140,Hyundai EON Era Plus,20150101,200000,Gasolina/Etanol
141,Tata Indica Vista Aqua TDI BSIII,20110101,120000,Diesel
142,Hyundai Santro LP zipPlus,20030101,75000,Gasolina/Etanol
143,Tata Bolt Quadrajet XE,20160101,250000,Não identificado
144,Maruti 800 AC BSIII,20050101,100000,Gasolina/Etanol
145,Hyundai EON Era Plus,20130101,280000,Gasolina/Etanol
146,Hyundai i20 Magna 1.2,20150101,540000,Gasolina/Etanol
147,Hyundai i20 1.2 Asta,20180101,700000,Gasolina/Etanol
148,Maruti Ciaz VDi Plus,20150101,525000,Gasolina/Etanol
149,Hyundai i20 Asta 1.4 CRDi,20160101,430000,Diesel
150,Hyundai Santro LE,20020101,65000,Gasolina/Etanol
151,Maruti Vitara Brezza VDi,20180101,800000,Gasolina/Etanol
152,Hyundai Santro Xing XL eRLX Euro III,20070101,75000,Gasolina/Etanol
153,Hyundai Getz 1.3 GLS,20080101,210000,Gasolina/Etanol
154,Mahindra Quanto C8,20120101,195000,Diesel
155,Chevrolet Tavera Neo 3 LS 7 C BSIII,20150101,400000,Elétrico
156,Hyundai EON Magna Plus,20120101,170000,Gasolina/Etanol
157,Renault KWID RXT,20160101,225000,Gasolina/Etanol
158,Maruti Wagon R DUO LPG,20140101,210000,Gasolina/Etanol
159,Maruti Wagon R LXI,20200101,240000,Gasolina/Etanol
160,Chevrolet Enjoy 1.3 TCDi LS 8,20150101,300000,Elétrico
161,Chevrolet Spark 1.0 LS,20110101,99000,Elétrico
162,Honda City i VTEC SV,20140101,620000,Gasolina/Etanol
163,Honda Amaze VX i-DTEC,20130101,500000,Diesel
164,Jaguar XJ 5.0 L V8 Supercharged,20100101,2550000,Não identificado
165,Honda Brio E MT,20130101,260000,Gasolina/Etanol
166,Maruti Swift VVT ZXI,20170101,550000,Gasolina/Etanol
167,Tata Indigo CR4,20110101,150000,Não identificado
168,Hyundai i10 Asta AT,20110101,350000,Gasolina/Etanol
169,Chevrolet Beat LT,20160101,320000,Elétrico
170,Maruti Swift VDI BSIV,20150101,400000,Gasolina/Etanol
171,Maruti Alto LXi,20120101,175000,Gasolina/Etanol
172,Chevrolet Beat LT,20110101,120000,Elétrico
173,Renault Duster 110PS Diesel RxZ,20130101,320000,Diesel
174,Hyundai Santro Xing XG,20060101,70000,Gasolina/Etanol
175,Maruti Swift Dzire ZXI Plus,20190101,810000,Gasolina/Etanol
176,Maruti 800 AC,20070101,95000,Gasolina/Etanol
177,Maruti Alto K10 LXI CNG,20200101,282000,Gasolina/Etanol
178,Maruti 800 Std BSII,20040101,80000,Gasolina/Etanol
179,Tata Nano LX SE,20130101,72000,Não identificado
180,Hyundai i20 Magna 1.2,20160101,600000,Gasolina/Etanol
181,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,20150101,640000,Não identificado
182,Maruti Alto K10 VXI,20180101,380000,Gasolina/Etanol
183,Maruti Ciaz 1.4 Delta,20180101,650000,Gasolina/Etanol
184,Maruti Alto LX,20090101,150000,Gasolina/Etanol
185,Hyundai i20 Asta,20090101,280000,Gasolina/Etanol
186,Tata Nexon 1.2 Revotron XM,20180101,430000,Elétrico
187,Mahindra Bolero Power Plus SLX,20190101,800000,Diesel
188,Maruti Zen D,20030101,75000,Gasolina/Etanol
189,Volkswagen Vento Celeste 1.5 TDI Highline AT,20160101,650000,Diesel
190,Maruti Eeco 7 Seater Standard BSIV,20170101,390000,Gasolina/Etanol
191,Honda City 1.5 EXI,20050101,100000,Gasolina/Etanol
192,Mercedes-Benz New C-Class 220 CDI AT,20130101,1500000,Gasolina
193,Maruti SX4 Zxi with Leather BSIII,20070101,175000,Gasolina/Etanol
194,Renault Duster 110PS Diesel RxZ,20120101,434999,Diesel
195,Ford Figo Diesel Titanium,20100101,170000,Diesel
196,Ford Figo Diesel Titanium,20110101,190000,Diesel
197,Maruti Swift Dzire VDi,20090101,250000,Gasolina/Etanol
198,Mahindra Xylo E4,20090101,229999,Diesel
199,Maruti Esteem Vxi - BSIII,20060101,140000,Gasolina/Etanol
200,Maruti Swift VDI BSIV,20170101,600000,Gasolina/Etanol
201,Hyundai i20 1.2 Sportz,20120101,280000,Gasolina/Etanol
202,Chevrolet Beat Diesel LT,20120101,150000,Diesel
203,Chevrolet Cruze LTZ AT,20150101,650000,Elétrico
204,Nissan Micra XL,20140101,210000,Gasolina/Etanol
205,BMW 5 Series 520d Luxury Line,20170101,2900000,Gasolina
206,Chevrolet Enjoy 1.3 TCDi LS 8,20130101,425000,Elétrico
207,Hyundai EON Era Plus Option,20140101,265000,Gasolina/Etanol
208,Fiat Linea T Jet Emotion,20180101,890000,Gasolina/Etanol
209,Renault Scala RxL,20130101,365000,Gasolina/Etanol
210,Ford Figo Petrol Titanium,20140101,350000,Gasolina/Etanol
211,Maruti Ciaz ZDi SHVS,20160101,685000,Gasolina/Etanol
212,Skoda Rapid 1.5 TDI Ambition BSIV,20180101,940000,Diesel
213,Mahindra XUV500 W6 2WD,20170101,1000000,Diesel
214,Mahindra XUV300 W8 Option,20190101,1150000,Diesel
215,Maruti Ertiga SHVS ZDI,20160101,450000,Gasolina/Etanol
216,Nissan Terrano XE D,20150101,590000,Gasolina/Etanol
217,Maruti S-Cross Facelift,20170101,800000,Gasolina/Etanol
218,Hyundai i20 Magna 1.4 CRDi (Diesel),20120101,385000,Diesel
219,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,20130101,2000000,Gasolina
220,Hyundai EON Era Plus,20120101,235000,Gasolina/Etanol
221,Volkswagen Ameo 1.5 TDI Highline,20170101,640000,Diesel
222,Maruti Alto LX,20060101,52000,Gasolina/Etanol
223,Maruti Omni LPG CARGO BSIII W IMMOBILISER,20090101,80000,Gasolina/Etanol
224,Maruti Alto LX,20120101,140000,Gasolina/Etanol
225,Hyundai Verna i (Petrol),20080101,120000,Gasolina/Etanol
226,Mahindra Renault Logan 1.5 DLS,20080101,89999,Gasolina/Etanol
227,Chevrolet Optra Magnum 2.0 LS BSIII,20120101,180000,Elétrico
228,Mahindra Scorpio S11 BSIV,20170101,1500000,Diesel
229,Hyundai i20 Active 1.2 SX,20170101,700000,Gasolina/Etanol
230,Maruti SX4 Celebration Diesel,20120101,285000,Diesel
231,Hyundai Grand i10 Magna,20150101,390000,Gasolina/Etanol
232,Maruti Alto LXi BSIII,20080101,125000,Gasolina/Etanol
233,Maruti SX4 Zxi with Leather BSIII,20080101,225000,Gasolina/Etanol
234,Hyundai i10 Era,20110101,175000,Gasolina/Etanol
235,Toyota Innova 2.5 V Diesel 7-seater,20110101,1075000,Diesel
236,Honda Mobilio V i DTEC,20140101,300000,Diesel
237,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,20100101,700000,Diesel
238,Tata Indica V2 2001-2011 DLS BSIII,20090101,90000,Não identificado
239,Tata Indica Vista TDI LS,20110101,120000,Diesel
240,Chevrolet Beat Diesel LS,20120101,220000,Diesel
241,Tata Zest Quadrajet 1.3 75PS XE,20150101,300000,Não identificado
242,Skoda Fabia 1.2L Diesel Ambiente,20100101,180000,Diesel
243,Maruti 800 Std,20130101,170000,Gasolina/Etanol
244,Ford Figo Petrol Titanium,20150101,300000,Gasolina/Etanol
245,Toyota Innova 2.5 VX (Diesel) 8 Seater,20140101,1050000,Diesel
246,Honda Mobilio V i DTEC,20140101,300000,Diesel
247,Hyundai Grand i10 1.2 CRDi Asta,20180101,465000,Diesel
248,Chevrolet Beat Diesel LT,20110101,130000,Diesel
249,Datsun GO Plus T Option Petrol,20180101,434999,Gasolina/Etanol
250,Hyundai Grand i10 1.2 Kappa Asta,20180101,500000,Gasolina/Etanol
251,Maruti Omni MPI STD BSIV,20180101,200000,Gasolina/Etanol
252,Maruti Baleno Alpha 1.2,20170101,625000,Gasolina/Etanol
253,Ford Fiesta Classic 1.4 SXI Duratorq,20060101,110000,Gasolina/Etanol
254,Hyundai Elite i20 Asta Option BSIV,20190101,800000,Gasolina/Etanol
255,Hyundai Grand i10 CRDi Magna,20170101,490000,Diesel
256,Maruti Ertiga SHVS ZDI,20170101,880000,Gasolina/Etanol
257,Hyundai Santro Xing GL Plus,20130101,290000,Gasolina/Etanol
258,Tata Sumo GX TC 7 Str BSIII,20060101,115999,Não identificado
259,Renault KWID RXT,20180101,360000,Gasolina/Etanol
260,Maruti 800 AC,20020101,65000,Gasolina/Etanol
261,Maruti Vitara Brezza LDi Option,20170101,685000,Gasolina/Etanol
262,Honda Jazz S,20090101,300000,Gasolina/Etanol
263,Hyundai i20 1.4 Sportz,20170101,680000,Gasolina/Etanol
264,Maruti Ertiga SHVS ZDI Plus,20170101,1000000,Gasolina/Etanol
265,Tata Sumo SE Plus BSIII,20020101,100000,Não identificado
266,Mahindra Xylo E4,20100101,160000,Diesel
267,Maruti Swift ZDi BSIV,20170101,450000,Gasolina/Etanol
268,Maruti Ertiga VXI,20140101,600000,Gasolina/Etanol
269,Hyundai i20 1.4 Magna ABS,20090101,180000,Gasolina/Etanol
270,Maruti Alto LXi,20070101,100000,Gasolina/Etanol
271,Maruti Alto LXi,20100101,120000,Gasolina/Etanol
272,Hyundai Getz GL,20060101,130000,Gasolina/Etanol
273,Maruti Wagon R LX BS IV,20110101,160000,Gasolina/Etanol
274,Mahindra Bolero Power Plus SLX,20190101,860000,Diesel
275,Hyundai i20 1.2 Spotz,20180101,650000,Gasolina/Etanol
276,Maruti Wagon R LXI Minor,20100101,100000,Gasolina/Etanol
277,Maruti Alto 800 VXI,20170101,282000,Gasolina/Etanol
278,Hyundai i20 Asta (o),20090101,300000,Gasolina/Etanol
279,Hyundai i20 Asta,20100101,270000,Gasolina/Etanol
280,Hyundai Verna 1.6 SX CRDi (O),20130101,550000,Diesel
281,Mahindra Xylo D2 BSIV,20130101,450000,Diesel
282,Mahindra Bolero SLX 2WD BSIII,20110101,430000,Diesel
